762,762-antifa (DE),Augen Auf,Augen auf e. V. (DE),CRIDEM,Convergence Républicaine pour l'Instauration de la Democratie en Mauritanie (MA)
GazzettaS,Gazzetta del Sud (IT),INDd,Independent Media Center (DE),Le Courrier,Le Courrier (CH)
Gazzettino,Il Gazzettino (IT),Independent,The Independent (GB),Le Figaro,Le Figaro (FR)
GDS,Giornale di Sicilia (IT),IndependentNG,Independent Nigeria (NG),Le Matin,Le Matin (MA)
GdV,Girodivite (IT),INDf,Independent Media Center (FR),Le MatinDZ,Le Matin DZ (DZ)
Geo,Geo.tv (PK),INDgb,Independent Media Center (GB),Le Monde,Le Monde (FR)
GermanGovernment,Bundesregierung (DE),INDi,Independent Media Center (IT),Le Nouveau Quotidien,Le Nouveau Quotidien (FR)
GFP,German-Foreign-Policy (DE),INDie,Independent (IE),Le Soir,Le Soir (BE)
GHM,Greek Helsinki Monitor (GR),INDm,Independent Media Center-Marseille (FR),Le Soleil,Le Soleil (SN)
Giornale,Il Giornale (IT),Indymedia,Independent Media Center,Le Temps,Le Temps (CH)
GiovaniE,Giovani E Missione (IT),INexile,Inexile (GB),Le360,Le360 (MA)
GiulianoNewsChronicle,Giuliano Chronicle (IT),INF,Infinito Edizioni (IT),LEAP,Ligali (GB)
Globedia,Globedia (ES),info,L'Info (FR),LeCourrierdesBalkans,Le Courrier des Balkans (FR)
GloboAU,Il Globo (AU),InfoMigrants,Info Migrants Europe,Leedstoday,Leeds Today (GB)
GloDP,Global Detention Project (CH),Infomob,Infomobile (GR),LeMur,Le Mur (FR)
GLOPRO,Global Project (IT),Informe Raxen,Bulletin of Movimiento contra la Intolerancia (ES),LePhare,Le Phare Dunkerquois (FR)
GP,Global Post (US),inq7,Inquirer 7 (US),Les Temps d'Algerie,Les Temps d'Algerie (DZ)
Grand Paris,Grand Paris (FR),Inquest,INQUEST – United Campaigns for Justice (GB),LESP,L'Espresso (IT)
GRAPPE,Groupe de Réflexion et d'Action Pour une Politique Ecologique (BE),Interaksyon,Interaksyon (PH),Lesvosnews,Lesvos News (GR)
GreekReporter,Greek Reporter (GR),IntHeraldTribune,International Herald Tribune (FR),LibCoastG,Libyan Coast Guard (LY)
GroeneAms,De Groene Amsterdammer (NL),IOL,Independent Online (ZA),Libelille,Libelille (FR)
Libération,Libération (FR),NationalCA,National Post (CD),PoliceGenève,Police Cantonale Genève (CH)
LiberationMaroc,Libération (MA),NationPK,The Nation (PK),PolicyReview,Policy Review (US)
Liberazione,Liberazione (IT),Nätverket mot rasism,Nätverket Mot Rasism (SE),Politics UK,Politics UK (GB)
Libero,Libero News (IT),NBC,National Broadcasting Company (US),PORTS,Ports Muth Today (GB)
Libertaddigital,Libertad Digital (ES),NBF,Nigerian Best Forum (NG),PR,Peace Reporter (IT)
LibertareA,Libertäre Aktion Winterthur (CH),NBK,Nederland Bekent Kleur (NL),pr,Prison Radio (US)
LibOb,The Libya Observer (LY),NCADC,National Coalition of Anti-Deportation Campaigns (GB),Pravda,Pravda (RU)
Libyan Express,Libyan Express (LY),NCAs,News Central Asia (TM),PrensaGrafica,La Prensa Grafica (SV)
LIDU,Lega Italiana dei Diritti dell'Uomo (IT),NCRM,National Civil Rights Movement (GB),PrensaLat,Prensa Latina (CU)
Liga für Mr.,Internationale Liga für Menschenrechte e. V. (DE),ND,Neues Deutschland (DE),PrensaLibre,Prensa Libre (GT)
LocalDE,The Local (DE),NDTV,New Delhi Television Limited (IN),PressAlert,Press Alert (RO)
LocalES,The Local (ES),Nederlands Dagblad,Nederlands Dagblad (NL),Presse,Die Presse (AT)
LocalFR,The Local (FR),NeosKos,Neos Kosmos (AU),Pressesp. Rassis.,Pressespiegel Rassismus (CH)
LocalIT,The Local (IT),Nerja,Nerja News (ES),PresseTV,Presse TV (IR)
LOP,La Opinion Coruna (ES),NeueVorarlbergerTageszeit,Neue Vorarlberger Tageszeitung (AT),PRI,Public Radio International (US)
LosInvisiblesDeKolda,"Los Invisibles de Kolda, Jose' Naranjom, Ed. Peninsula, 2009 (ES)",NewArab,The New Arab Outlet (GB),PRIME,Participating Refugees in Multicultural Europe (NL)
LPC,La Presse Canadienne (CA),News24,News24 (ZA),PrivateSource,Information received from private individual/researcher
LR,La Repubblica (IT),Newsaust,News from Australia (AU),PRO,PRO Radio (IT)
LRB,La Repubblica Bari (IT),NewsD,NewsDesk (SE),Proactiva,Proactiva Open Arms (ES)
LRBrand,Landesregierung Brandenburg (DE),Newsit,NEWSIT (GR),ProAsyl,Pro Asyl – Bundesweite AG für Flüchtlinge Förderverein PRO ASYL e. V. (DE)
LRM,La Repubblica Metropoli (IT),Newsweek,Newsweek (US),Proto,Protothema (GR)
LRP,La Repubblica Palermo (IT),NI,Nigeria Independent (NG),Provincia,La Provincia (ES)
LS,La Sicilia (IT),Nice,Nice-Matin (FR),Provincias,Las Provincias (ES)
LSW,LaSiciliaWeb (IT),NigerianVoice,The Nigerian Voice (NI),PUB,Público (PT)
LV,La Vanguardia (ES),NigeriaToday,Nigeria Today (NG),Publico,Público (ES)
MAC,Monsters and Critics (US),NMNH,Social Impact – Die Agentur für soziale Innovationen (AT),Punch,Punch Newspapers (NI)
MadD,Madrid Digital (ES),No Pasaran,No Pasaran/Reflexes (FR),QNE,Quinordest (IT)
MAG,Magenta (NL),No-Deportations,No-Deportations (GB),Querblick,National Association of Young People in Care (GB)
MailOnline,Daily Mail Online (GB),NOB,No Border Center,quibla,Quibla.net (FR)
MainPost,Main Post (DE),NoBordersNott,No Borders Nottingham (GB),QUOTI,Le Quotidien D'Oran (DZ)
Malango,Malango (FR),NODO50,Contrainformación en Red (ES),Quotidiano,Quotidiano (IT)
Malmoe,Malmoe (AT),NoHuman,No Human is illegal (IR),Qz,Quartz (US)
Malta Independent,The Malta Independent (MT),Nopoliceraids,No Police Raids (NL),Radio Bayern 5,Bayerischer Rundfunk (DE)
MaltaStar,Malta Star (MT),NordLittoral,Nord Littoral (FR),RadioAlg,Radio Algérienne (DZ)
MaltaToday,Malta Today (MT),NOS,Nederlandse Omroep Stichting (NL),RadioErgo,Radio Ergo (SO)
Manchester,Manchester Evening News (GB),Nouvel Obs,Nouvel Observateur (FR),RAI,"RAI, national broadcasting (IT)"
Mareeg,Mareeg (SO),Novinite,Novinite (BG),Rawstory,The Raw Story (US)
MAS,Migrants At Sea (US),NR,No Racism (AT),Raz,La Razon (ES)
Matteo,Matteo – Kirche und Asyl e.V (DE),NRC,NRC-next (NL),RCItaly,"Croce Rossa Italiana, Italian Red Cross (IT)"
MB,MoroccoBoard.com (MA),NRK,Norsk rikskringkasting (NRK) (NO),RCLibya,Lybian Red Crescent (LY)
MC,Marina Civil (ES),NRT,Nalia Radio and Television (KRG),Réf,Réflexion (DZ)
MDR,Mitteldeutscher Rundfunk (DE),NT,Nigerian Tribune (NG),RefDeeply,Refugees Deeply (US)
Mediapart,Mediapartpaper (FR),Nt7,Newstime on ProSieben (DE),Rel,ReliefWeb.int
MEE,Middle East Eye (Middle East),NU,Nu.nlpaper (NL),RepublicR,Republic Report New York (US)
MEM,Middle East Monitor (GB),NW,Neue Westfälische (DE),ResearchTR,Center for Policy and Research on Turkey (GB)
MENAFN,Middle East North Africa Financial Network,Ny Tid,Ny Tid (NO),RESF,Réseau Education Sans Frontières (FR)
MEOnline,Middle East Online (GB),NYboat,New York Boat Show (US),Respons,ReSpons Evenementen Monitor (NL)
Messogiorno,Corriere del Messogiorno (IT),NYtimes,The New York Times (US),Reuters/Reu.,Reuters News Agency (GB)
MET,Metro (IT),NZZ,Neue Zürcher Zeitung (CH),RF,Radio France (FR)
Metro,Metro (GB),Obs.france24,Les Observateurs/France 24 (FR),RFI,Radio France Internationale (FR)
METROF,Metro (FR),ObsAlgerie,ObservAlgerie (DZ),Rheinpfalz,Die Rheinpfalz (DE)
Metropolitan Police,Metropolitan Police (GB),Observer Gazette,The Observer Gazette,Rijnmond,Rijnmond (NL)
MGHR,Mahatma Gandhi Human Rights Organisation (HU),OBV,Operation Black Vote (GB),RIS,Ristretti (IT)
Miami Herald,The Miami Herald (US),OCPM,Obra Católica Portuguesa de Migrações (PT),RivRadio,Riviera Radio (MA)
Mic,Mic (US),ODILI,Odili.net (NG),Rizo,Rizospastis (GR)
Middleton Guardian,Middleton Guardian (GB),ODP,Observatorio de Prensa (ES),RNW,Radio Netherlands Worldwide (NL)
MidiLibre,Midi Libre (FR),Odysseus,Odysseus – Academic Network Legal Studies Immigration Asylum (BE),RO,Roma One (IT)
Migrant News,December 18 Online Network / Rights of Migrants Workers (BE),OL,Off Limits – Antirassistische Zeitschrift (DE),RoarMag,Roar Magazine (NL)
MigrantReport,Migrant Report (MT),Olive,Olive Press (ES),RochdaleObs,The Rochdale Observer (GB)
MigrantsGR,Migrants in Greece (GR),OMCT,World Organisation Against Torture (CH),Rom e.V.,Rom e. V. Köln (DE)
MigrantsOM,MigrantsOutreMer (FR),OmroepG,Omroep Gelderland (NL),Romandie,Romandie News service (FR)
MigrantTales,Migrant Tales (FI),OmroepWest,Omroep West (NL),Romnews,RomNews Society (DE)
Migreurop,Migreurop (FR),Onda,Onda Local (ES),Rosa Antifa,Rosa Antifa Wien (AT)
Milliyet,Milliyet  (TR),OOB,Oman Daily Observer (OM),RoterP,Roter Pressespiegel (AT)
Mirror,The Daily Mirror (GB),OpenDem,Open Democracy (GB),RoundTown,Round Town News in Spanish (GB)
MLKO,Martin Luther King Organisation (HU),OpenGrenzen,Open Grenzen – Frontières Ouvertes (BE),RP,Res Publica (DE)
MM,Malta Media (MT),OpenMigration,"Open Migration project, Coalizione Italiana Libertà e Diritti Civili  (IT)",RT,Russia Today (RU)
MMP,"Missing Migrants Project, IOM",ORF,Österreichischer Rundfunk – Minderheitenredaktion (AT),RTA,Refugee Tent Action (DE)
MN,"Migration News, University of California (US)",OSF,Open Society Foundation (HU),RTBF,Radio-télévision Belge de la Fédération Wallonie-Bruxelles (BE)
MNS,Migration News Sheet (GB),Osnabr.Zeit,Neue Osnabrücker Zeitung (DE),RTE,Radio One World (IE)
MOAS,Migrant Offfshore Aid Station (MT),OTZ,Ostthüringer Zeitung (DE),RTLNieuws,RTL Nieuws (NL)
Modkraft,Modkraft (DK),Ouest-France,Société Ouest-France (FR),RTVOost,RTV Oost (NL)
Monitor,Monitor (NL),OuestT,Ouest Tribune (DZ),Rudaw,Rudaw Media Network (Iraqi Kurdistan)
Morgengr.,Morgengrauen – Antirassistische Zeitung (DE),PACE,Parliamentary Assembly of the Council of Europe,Rue89,Rue89 (FR)
MorningJournal,The Morning Journal (US),PAIH,Positive Action in Housing (GB),StaatsministeriumfürJustiz,"Freistaat Sachsen,Staatsministerium der Justiz (DE)"
MornStar,Morning Star (GB),PAJOL,Pajol (FR),SachsZeit,Sächsische Zeitung (DE)
MorWN,Morocco World News (US),PakToday,Pakistan Today (PK),SAGA,Südbadisches Aktionsbündnis gegen Abschiebungen (DE)
Moscow Times,The Moscow Times (RU),PANOR,Panorama (IT),Salam,Association Salam Calais (FR)
MOZ,Märkische Oderzeitung (DE),Paris-luttes,Paris-Luttes.info (FR),SalvaM,Salvamento Marítimo (ES)
MP,Melting Pot Europa (IT),Parisien,Le Parisen (FR),Salzburger Nachrichten,Salzburger Nachrichten (AT)
Mrap,Mouvement contre le Racisme et pour l'Amitié entre les Peuples (FR),Parool,Het Parool (NL),Samora,Samora (NO)
MRAX,"Mouvement contre le racisme, l'antisémitisme et la xénophobie (BE)",PassH,Passeurs d'hospitalités - des exilés en Calais (FR),SAP,Sindacato Autonomo di Polizia (IT)
MSF,Médecins Sans Frontières (CH),patrasT,Patras Times (GR),SBS,Six Billion Stories (AU)
MSN,MSNBC (US),Pax Christi,Pax Christi International (BE),SC,Save the Children (GB)
MT,MoroccoTimes (MA),PBS,Public Broadcasting Service (US),SC,The Scotsman (GB)
MUGAK,Centro de Estudios y Documentación sobre Racismo y Xenofobia (ES),PCM,Peace & Conflict Monitor – University for Peace,SchNews,SchNEWS (GB)
Mumbaicentral,Mumbai Central (IN),PerCat,El Periódico de Cataluña (ES),ScientificA,Scientific American (US)
Myjoyonline,My Joy Online (GH),Peterboroughtoday,Peterborough Today (GB),SCOT,Scotland Today (GB)
MZ,Mitteldeutsche Zeitung (DE),PICUM,Platform for International Cooperation on Undocumented Migrants (BE),ScrollToday,Scroll Today (IN)
NA,Stowarzyszenie Nigdy Więcej (PL),PlaZa,Plaza Luxemburg (LU),SDV,"Scottish Detainee Visitors, Scotland (GB)"
Naharnet,Naharnet (LE),PLi,Planet Internet (NL),SDZ,SüdDeutsche Zeitung (DE)
NAN,News Agency Nigeria (NG),Pogledi,Pogledi (RS),Searchlight,Searchlight (GB)
NationalAE,The National (AE),Polbe,Berneser Polizei (CH),SeaWatch,Sea-Watch e. V. (DE)
Secolo,Il Secolo XIX (IT),TeleSur,TeleSUR (VE),UPP,Uppmana (SE)
Seneweb,Seneweb News (SN),Tempo,Il Tempo (IT),USAToday,USA Today (US)
Servir,Servir (IT),Terra,Terra (ES),USNews,US News & World Report (US)
SetDirecta,Setmanari Directa (ES),Terred'errance,Terre D'Errance (FR),UxbGaz,Uxbridge Gazette (GB)
SFH,Schweizerische Flüchtlingshilfe (CH),TF1,TF1 News (FR),VanguardNGR,Vanguard (NI)
SFNM,Santa Fe New Mexican (US),TFN,Third Force News - Scotland (GB),Vatan,Vatan Gazetesi (TR)
SH,Sociedad HispaVista (ES),Tgcom,Tgcom (IT),VDG,La Voz de Galicia (ES)
ShieldsG,Shields Gazette (GB),The Age,The Age (AU),Ventures,Ventures Africa (Pan-African)
SiciliaInf,Sicilia Informazioni (IT),The Courier,The Courier (GB),Verdad,La Verdad (ES)
Skai,Skai (GR),The News,The News International (PK),Vers l'Avenir,Vers l'Avenir (BE)
Sky,Sky News (GB),The Standard,The Standard (GB),VG,Verdens Gang (NO)
slovensko.com,Slovensko (SK),TheCourier,The Courier (GB),Vice,Vice News (US)
SM,SundayMail (GB),TheEntertainerOnline,The Entertainer Online (ES),Vielfaltletter,Vielfalt (AT)
SmartG,"Smart Groups, Service For Group Communication",TheGlobe,The Globe and Mail (CA),Vita,Vita (IT)
Socialist Worker,Socialist Worker (GB),TheHerald,The Herald (GB),Vivre,Vivre Ensemble (CH)
SofiaGlobe,Sofia Globe (BG),TheHuff,The Huffington Post (GB),VK,De Volkskrant (NL)
SofiaNewsAgency,Sofia News Agency (BG),TheNews,The News (GB),Vluchteling,Vluchtelingenwerk Vlaanderen (BE)
SOHR,Syrian Observatory for Human Rights (SY),Thestar,The Star (ZA),VOA,VOA News (US)
SoirAlgerie,Le Soir d'Algerie (DZ),ThisIsKent,This is Kent (GB),VoixDuNord,La Voix Du Nord (FR)
SoirInfo,Soir Info (CI),ThisIsNott,This Is Nottingham (GB),Voorvlucht,Voor Vluchtelingen (NL)
soli-komitee,soli-komitee-wuppertal (DE),Thruttig,Afghanistan Zhaghdablai – Thomas Ruttig über Afghanistan,VOR,Voice of Russia (RU)
Solidaire,Solidaire (BE),Times,The Times (GB),VozAlm,La Voz de Almeria (ES)
Son Dakika,Son Dakika (TR),TimesM,The Times of Malta (MT),VozCádiz,La Voz de Cádiz (ES)
Sophia,"European Union Naval Force Mediterranean, Operation Sophia",TimesofIsrael,The Times of Israel (IL),VozDeL,La Voz de Lanzarote (ES)
SOS,SOS Racismo – Madrid (ES),Tiroler Tageszeitung,Tiroler Tageszeitung (AT),VPRO,VPRO (NL)
SOS-Menschenrechte,SOS Menschenrechte (AT),Tisc,Tiscali Notizie (IT),Vreme,Vreme (BG)
SOSMed,SOS Mediterranée,TK,Thrakinea (GR),VRF,The Voice Refugee Forum Germany (DE)
Sozcu,Sozcu (TR),TL,Terrelibere (IT),Vrijheid,Vrijheid van beweging! (NL)
Spanish Authorities,Spanish Authorities (ES),TN,TeleNoticies (ES),VSF,Voix Sans Frontières
Sparta,Spartacist League (US),TNE,The Northern Echo (GB),W2EU,Welcome 2 Lesvos (GR)
Spiegel,Der Spiegel (DE),TNnum,Tunisie Numerique (TN),Was geht ab?,Was geht ab? (DE)
Spits,Spits (NL),TodZam,Today's Zaman (TR),WatchTheMed,Watch The Mediterranean Sea (DE)
Sputnik,Sputnik News (RU),Top News,Top News (IN),waz,Wolfsburger Allgemeine (DE)
SSF,Solidarite Sans Frontieres (CH),TotSloveniaNews,Total Slovenia News (SI),WB,Westfalen-Blatt (DE)
Stampa,La Stampa (IT),ToV,To Vima (GR),Welt,Die Welt (DE)
StandardHK,The Standard Hong Kong (HK),TownCrier,The Town-Crier (GB),WIB,WIB (DE)
Star,The Star (GB),TP,Turkish Press (TR),Wij Zijn Hier,Wij Zijn Hier - We Are Here (NL)
Statewatch,Statewatch (GB),Tribuna,Nueva Tribuna (ES),WIKI,Wikipedia
Stern,Stern (DE),TribuneGeneve,Tribune de Geneve (CH),WIKO,Wiener Integrationskonferenz (AT)
StGallerTagblatt,St. Galler Tagblatt (CH),Trierer Volksfreund,Trierer Volksfreund (DE),Wochenblatt,Wochenblatt (DE)
STR,Stranieri in Italia (IT),TRMinute,Turkish Minute (TR),WOI,Web of lstafford (US)
Streatham,Streatham Guardian (GB),Trouw,Trouw (NL),WorldBul,World Bulletin (TR)
StreetJ,Street Journalist (IR),TRP,The Tripoli Post (LY),WorldCrunch,World Crunch (FR)
Stuff,Stuff (NZ),TS,Think Spain (ES),WorldRadio,World Radio (CH)
SudInfo,Sud Info (BE),TSA,Tout Sur l'Algerie (DZ),WOZ,Die Wochenzeitung (CH)
SudQ,Sud Quotidien (SN),TunisieSoir,Tunisie Soir (TN),WP,Waging Peace (GB)
Sun,The Sun (GB),TurkeyPurge,Turkey Purge (TR),Wpost,Washington Post (US)
SunaT,Sunatimes (SO),TV5,TV5 Monde (FR),WSLS10,WSLS10 (US)
SunMY,The Sun Malaysia (MY),TVXS,TVXS (GR),WSWS,World Socialist Web Site (US)
SunNewsOnline,The Sun (DZ),TW,Turkish Weekly (TR),WZ,Wiener Zeitung (AT)
SUR,Diario Sur (ES),TweeVandaag,Twee Vandaag (NL),Xinhua,Xinhua (CN)
SurprisingE,Surprising Europe (NL),TySp,Typically Spanish (ES),XXI,XXI (FR)
Svenska Dagbladet,Svenska Dagbladet (SE),U4IB,United 4 Iran – Bayern (DE),Ya Basta!,Associazione Ya Basta! (IT)
Sveriges,Sveriges Radio (SE),Ua,UAE Digest (AE),Ya.I,Yahoo News (IT)
Swiss.ch,Swiss Info (CH),UCGlasgow,Unity Centre Glasgow (GB),Ya.N,Yahoo News (US)
SydHerald,The Sydney Morning Herald (AU),Uckermark-Kurier,Uckermark Kurier (DE),YABI,Yabiladi (MA)
Symaag,South Yorkshire Migration and Asylum Action Group (GB),UE,"Universal Embassy, Forum Ambassade Universelle (BE)",YachtingWorld,Yachting & Boating World (GB)
TA,Tages-Anzeiger (CH),UN,United Nations News Centre,YT,YorkshireToday (GB)
Ta Nea,Ta Nea (GR),UNHCR,United Nations High Commissioner for Refugees,Z24,Business Insider-Z24 (NL)
Tagesschau,Aktuelle Nachrichten (DE),UNHCR Italy,"United Nations High Commissioner for Refugees, Italian office (IT)",z24.si,zurnal24.si (SI)
Tagesspiegel,Der Tagesspiegel (DE),UNHCR Libya,"United Nations High Commissioner for Refugees, Libyan office (LY)",ZAG,ZAG – antirassistische zeitschrift (DE)
Tampere Digest,Nettime-Tampere Digest,UNHCR Serbia,"United Nations High Commissioner for Refugees, Serbian office (RS)",ZDF,Zweites Deutsches Fernsehen (DE)
Tanjug,Telegrafska Agencija Nove Jugoslavije (RS),UNHCR Spain,"United Nations High Commissioner for Refugees, Spanish office (ES)",ZDFvideotxt,Zweites Deutsches Fernsehen Videotext (DE)
taz,die tageszeitung (DE),Unità,L'Unità (IT),ZEIT,Die Zeit (DE)
TDEMD,Turkey Disaster and Emergency Management Directorate (TR),Universal,El Universal (CO),Zelf,Zelfmoord (NL)
TDN,Turkish Daily News (TR),Universo,El Universo (ES),ZimEye,ZimEye (ZW)
Telegraaf,De Telegraaf (NL),UNMIK,UNMIK Division of Public Information (XZ),,
Telegraph,The Telegraph (GB),UnSarda,L'Unione Sarda (IT),,
